SHIP, NATION, SURVEY, FREQUENCY, TR, DATE, TIME, LOGSTART, LOGSTOP, LONGITUDE, LATITUDE, DEPTH, CAP, TOTAL
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:00:11, 2111.89, 2111.99, -37.32705, 63.51653, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:00:50, 2112.00, 2112.10, -37.32927, 63.51786, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:01:29, 2112.10, 2112.20, -37.33164, 63.51921, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:02:08, 2112.20, 2112.30, -37.33367, 63.52064, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:02:47, 2112.30, 2112.40, -37.33536, 63.52213, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:03:23, 2112.39, 2112.49, -37.33728, 63.52347, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:03:59, 2112.49, 2112.59, -37.33946, 63.52473, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:04:38, 2112.60, 2112.70, -37.34177, 63.52616, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:05:14, 2112.69, 2112.79, -37.34376, 63.52750, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:05:53, 2112.80, 2112.90, -37.34595, 63.52893, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:06:29, 2112.89, 2112.99, -37.34798, 63.53023, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:07:08, 2113.00, 2113.10, -37.35012, 63.53163, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:07:47, 2113.10, 2113.20, -37.35212, 63.53309, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:08:23, 2113.20, 2113.30, -37.35403, 63.53446, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:08:59, 2113.29, 2113.40, -37.35609, 63.53579, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:09:35, 2113.39, 2113.49, -37.35812, 63.53714, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:10:14, 2113.50, 2113.60, -37.36029, 63.53859, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:10:50, 2113.59, 2113.69, -37.36233, 63.53991, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:11:26, 2113.69, 2113.79, -37.36436, 63.54126, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:12:05, 2113.80, 2113.90, -37.36650, 63.54274, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:12:41, 2113.90, 2114.00, -37.36846, 63.54412, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:13:17, 2114.00, 2114.10, -37.37035, 63.54548, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:13:53, 2114.09, 2114.19, -37.37228, 63.54685, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:14:29, 2114.19, 2114.29, -37.37428, 63.54822, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:15:08, 2114.30, 2114.40, -37.37640, 63.54974, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:15:44, 2114.40, 2114.50, -37.37831, 63.55116, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:16:17, 2114.49, 2114.59, -37.38014, 63.55244, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:16:56, 2114.60, 2114.70, -37.38225, 63.55396, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:17:32, 2114.70, 2114.80, -37.38422, 63.55536, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:18:08, 2114.80, 2114.90, -37.38622, 63.55676, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:18:44, 2114.90, 2115.00, -37.38816, 63.55816, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:19:17, 2114.99, 2115.09, -37.39007, 63.55953, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:19:56, 2115.10, 2115.20, -37.39212, 63.56097, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:20:32, 2115.20, 2115.30, -37.39411, 63.56237, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:21:08, 2115.30, 2115.40, -37.39608, 63.56377, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:21:44, 2115.40, 2115.50, -37.39810, 63.56518, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:22:20, 2115.50, 2115.60, -37.40007, 63.56656, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:22:56, 2115.59, 2115.69, -37.40205, 63.56794, 0.0, 0.0, 0.0
